,date
963,2013-04-29
965,2013-04-30
983,2013-05-01
994,2013-05-02
997,2013-05-03
998,2013-05-04
999,2013-05-05
1000,2013-05-06
1001,2013-05-07
1002,2013-05-08
1003,2013-05-09
973,2013-05-10
974,2013-05-11
975,2013-05-12
976,2013-05-13
977,2013-05-14
978,2013-05-15
979,2013-05-16
980,2013-05-17
981,2013-05-18
982,2013-05-19
984,2013-05-20
985,2013-05-21
986,2013-05-22
987,2013-05-23
988,2013-05-24
989,2013-05-25
990,2013-05-26
991,2013-05-27
992,2013-05-28
993,2013-05-29
995,2013-05-30
996,2013-05-31
1014,2013-06-01
1025,2013-06-02
1027,2013-06-03
1028,2013-06-04
1029,2013-06-05
1030,2013-06-06
1031,2013-06-07
1032,2013-06-08
1033,2013-06-09
1004,2013-06-10
1005,2013-06-11
1006,2013-06-12
1007,2013-06-13
1008,2013-06-14
1009,2013-06-15
1010,2013-06-16
1011,2013-06-17
1012,2013-06-18
1013,2013-06-19
1015,2013-06-20
1016,2013-06-21
1017,2013-06-22
1018,2013-06-23
1019,2013-06-24
1020,2013-06-25
1021,2013-06-26
1022,2013-06-27
1023,2013-06-28
1024,2013-06-29
1026,2013-06-30
1044,2013-07-01
1055,2013-07-02
1058,2013-07-03
1059,2013-07-04
1060,2013-07-05
1061,2013-07-06
1062,2013-07-07
1063,2013-07-08
1064,2013-07-09
1034,2013-07-10
1035,2013-07-11
1036,2013-07-12
1037,2013-07-13
1038,2013-07-14
1039,2013-07-15
1040,2013-07-16
1041,2013-07-17
1042,2013-07-18
1043,2013-07-19
1045,2013-07-20
1046,2013-07-21
1047,2013-07-22
1048,2013-07-23
1049,2013-07-24
1050,2013-07-25
1051,2013-07-26
1052,2013-07-27
1053,2013-07-28
1054,2013-07-29
1056,2013-07-30
1057,2013-07-31
1075,2013-08-01
1086,2013-08-02
1089,2013-08-03
1090,2013-08-04
1091,2013-08-05
1092,2013-08-06
1093,2013-08-07
1094,2013-08-08
1095,2013-08-09
1065,2013-08-10
1066,2013-08-11
1067,2013-08-12
1068,2013-08-13
1069,2013-08-14
1070,2013-08-15
1071,2013-08-16
1072,2013-08-17
1073,2013-08-18
1074,2013-08-19
1076,2013-08-20
1077,2013-08-21
1078,2013-08-22
1079,2013-08-23
1080,2013-08-24
1081,2013-08-25
1082,2013-08-26
1083,2013-08-27
1084,2013-08-28
1085,2013-08-29
1087,2013-08-30
1088,2013-08-31
1106,2013-09-01
1117,2013-09-02
1119,2013-09-03
1120,2013-09-04
1121,2013-09-05
1122,2013-09-06
1123,2013-09-07
1124,2013-09-08
1125,2013-09-09
1096,2013-09-10
1097,2013-09-11
1098,2013-09-12
1099,2013-09-13
1100,2013-09-14
1101,2013-09-15
1102,2013-09-16
1103,2013-09-17
1104,2013-09-18
1105,2013-09-19
1107,2013-09-20
1108,2013-09-21
1109,2013-09-22
1110,2013-09-23
1111,2013-09-24
1112,2013-09-25
1113,2013-09-26
1114,2013-09-27
1115,2013-09-28
1116,2013-09-29
1118,2013-09-30
1136,2013-10-01
1147,2013-10-02
1150,2013-10-03
1151,2013-10-04
1152,2013-10-05
1153,2013-10-06
1154,2013-10-07
1155,2013-10-08
1156,2013-10-09
1126,2013-10-10
1127,2013-10-11
1128,2013-10-12
1129,2013-10-13
1130,2013-10-14
1131,2013-10-15
1132,2013-10-16
1133,2013-10-17
1134,2013-10-18
1135,2013-10-19
1137,2013-10-20
1138,2013-10-21
1139,2013-10-22
1140,2013-10-23
1141,2013-10-24
1142,2013-10-25
1143,2013-10-26
1144,2013-10-27
1145,2013-10-28
1146,2013-10-29
1148,2013-10-30
1149,2013-10-31
1167,2013-11-01
1178,2013-11-02
1180,2013-11-03
1181,2013-11-04
1182,2013-11-05
1183,2013-11-06
1184,2013-11-07
1185,2013-11-08
1186,2013-11-09
1157,2013-11-10
1158,2013-11-11
1159,2013-11-12
1160,2013-11-13
1161,2013-11-14
1162,2013-11-15
1163,2013-11-16
1164,2013-11-17
1165,2013-11-18
1166,2013-11-19
1168,2013-11-20
1169,2013-11-21
1170,2013-11-22
1171,2013-11-23
1172,2013-11-24
1173,2013-11-25
1174,2013-11-26
1175,2013-11-27
1176,2013-11-28
1177,2013-11-29
1179,2013-11-30
1197,2013-12-01
1208,2013-12-02
1211,2013-12-03
1212,2013-12-04
1213,2013-12-05
1214,2013-12-06
1215,2013-12-07
1216,2013-12-08
1217,2013-12-09
1187,2013-12-10
1188,2013-12-11
1189,2013-12-12
1190,2013-12-13
1191,2013-12-14
1192,2013-12-15
1193,2013-12-16
1194,2013-12-17
1195,2013-12-18
1196,2013-12-19
1198,2013-12-20
1199,2013-12-21
1200,2013-12-22
1201,2013-12-23
1202,2013-12-24
1203,2013-12-25
1204,2013-12-26
1205,2013-12-27
1206,2013-12-28
1207,2013-12-29
1209,2013-12-30
1210,2013-12-31
1228,2014-01-01
1239,2014-01-02
1242,2014-01-03
1243,2014-01-04
1244,2014-01-05
1245,2014-01-06
1246,2014-01-07
1247,2014-01-08
1248,2014-01-09
1218,2014-01-10
1219,2014-01-11
1220,2014-01-12
1221,2014-01-13
1222,2014-01-14
1223,2014-01-15
1224,2014-01-16
1225,2014-01-17
1226,2014-01-18
1227,2014-01-19
1229,2014-01-20
1230,2014-01-21
1231,2014-01-22
1232,2014-01-23
1233,2014-01-24
1234,2014-01-25
1235,2014-01-26
1236,2014-01-27
1237,2014-01-28
1238,2014-01-29
1240,2014-01-30
1241,2014-01-31
1259,2014-02-01
1269,2014-02-02
1270,2014-02-03
1271,2014-02-04
1272,2014-02-05
1273,2014-02-06
1274,2014-02-07
1275,2014-02-08
1276,2014-02-09
1249,2014-02-10
1250,2014-02-11
1251,2014-02-12
1252,2014-02-13
1253,2014-02-14
1254,2014-02-15
1255,2014-02-16
1256,2014-02-17
1257,2014-02-18
1258,2014-02-19
1260,2014-02-20
1261,2014-02-21
1262,2014-02-22
1263,2014-02-23
1264,2014-02-24
