,date
656,2014-07-16
657,2014-07-17
658,2014-07-18
659,2014-07-19
660,2014-07-20
661,2014-07-21
662,2014-07-22
663,2014-07-23
664,2014-07-24
665,2014-07-25
666,2014-07-26
667,2014-07-27
668,2014-07-28
669,2014-07-29
670,2014-07-30
671,2014-07-31
672,2014-08-01
673,2014-08-02
674,2014-08-03
675,2014-08-04
676,2014-08-05
677,2014-08-06
678,2014-08-07
679,2014-08-08
680,2014-08-09
681,2014-08-10
682,2014-08-11
683,2014-08-12
684,2014-08-13
685,2014-08-14
686,2014-08-15
687,2014-08-16
688,2014-08-17
689,2014-08-18
690,2014-08-19
691,2014-08-20
692,2014-08-21
693,2014-08-22
694,2014-08-23
695,2014-08-24
696,2014-08-25
697,2014-08-26
698,2014-08-27
699,2014-08-28
700,2014-08-29
701,2014-08-30
702,2014-08-31
703,2014-09-01
704,2014-09-02
705,2014-09-03
706,2014-09-04
707,2014-09-05
708,2014-09-06
709,2014-09-07
710,2014-09-08
711,2014-09-09
712,2014-09-10
713,2014-09-11
714,2014-09-12
715,2014-09-13
716,2014-09-14
717,2014-09-15
718,2014-09-16
719,2014-09-17
720,2014-09-18
721,2014-09-19
722,2014-09-20
723,2014-09-21
724,2014-09-22
725,2014-09-23
726,2014-09-24
727,2014-09-25
728,2014-09-26
729,2014-09-27
730,2014-09-28
731,2014-09-29
732,2014-09-30
733,2014-10-01
734,2014-10-02
735,2014-10-03
736,2014-10-04
737,2014-10-05
738,2014-10-06
739,2014-10-07
740,2014-10-08
741,2014-10-09
742,2014-10-10
743,2014-10-11
744,2014-10-12
745,2014-10-13
746,2014-10-14
747,2014-10-15
748,2014-10-16
749,2014-10-17
750,2014-10-18
751,2014-10-19
752,2014-10-20
753,2014-10-21
754,2014-10-22
755,2014-10-23
756,2014-10-24
757,2014-10-25
758,2014-10-26
759,2014-10-27
760,2014-10-28
761,2014-10-29
762,2014-10-30
763,2014-10-31
764,2014-11-01
765,2014-11-02
766,2014-11-03
767,2014-11-04
768,2014-11-05
769,2014-11-06
770,2014-11-07
771,2014-11-08
772,2014-11-09
773,2014-11-10
774,2014-11-11
775,2014-11-12
776,2014-11-13
777,2014-11-14
778,2014-11-15
779,2014-11-16
780,2014-11-17
781,2014-11-18
782,2014-11-19
783,2014-11-20
784,2014-11-21
785,2014-11-22
786,2014-11-23
787,2014-11-24
788,2014-11-25
789,2014-11-26
790,2014-11-27
791,2014-11-28
792,2014-11-29
793,2014-11-30
794,2014-12-01
795,2014-12-02
796,2014-12-03
797,2014-12-04
798,2014-12-05
799,2014-12-06
800,2014-12-07
801,2014-12-08
802,2014-12-09
803,2014-12-10
804,2014-12-11
805,2014-12-12
806,2014-12-13
807,2014-12-14
808,2014-12-15
809,2014-12-16
810,2014-12-17
811,2014-12-18
812,2014-12-19
813,2014-12-20
814,2014-12-21
815,2014-12-22
816,2014-12-23
817,2014-12-24
818,2014-12-25
819,2014-12-26
820,2014-12-27
821,2014-12-28
822,2014-12-29
823,2014-12-30
824,2014-12-31
825,2015-01-01
826,2015-01-02
827,2015-01-03
828,2015-01-04
829,2015-01-05
830,2015-01-06
831,2015-01-07
832,2015-01-08
833,2015-01-09
834,2015-01-10
835,2015-01-11
836,2015-01-12
837,2015-01-13
838,2015-01-14
839,2015-01-15
840,2015-01-16
841,2015-01-17
842,2015-01-18
843,2015-01-19
844,2015-01-20
845,2015-01-21
846,2015-01-22
847,2015-01-23
848,2015-01-24
849,2015-01-25
850,2015-01-26
851,2015-01-27
852,2015-01-28
853,2015-01-29
854,2015-01-30
855,2015-01-31
856,2015-02-01
857,2015-02-02
858,2015-02-03
859,2015-02-04
860,2015-02-05
861,2015-02-06
862,2015-02-07
863,2015-02-08
864,2015-02-09
865,2015-02-10
866,2015-02-11
867,2015-02-12
868,2015-02-13
869,2015-02-14
870,2015-02-15
871,2015-02-16
872,2015-02-17
873,2015-02-18
874,2015-02-19
875,2015-02-20
876,2015-02-21
877,2015-02-22
878,2015-02-23
879,2015-02-24
880,2015-02-25
881,2015-02-26
882,2015-02-27
883,2015-02-28
884,2015-03-01
885,2015-03-02
886,2015-03-03
887,2015-03-04
888,2015-03-05
889,2015-03-06
890,2015-03-07
891,2015-03-08
892,2015-03-09
893,2015-03-10
894,2015-03-11
895,2015-03-12
896,2015-03-13
897,2015-03-14
898,2015-03-15
899,2015-03-16
900,2015-03-17
901,2015-03-18
902,2015-03-19
903,2015-03-20
904,2015-03-21
905,2015-03-22
906,2015-03-23
907,2015-03-24
908,2015-03-25
909,2015-03-26
910,2015-03-27
911,2015-03-28
912,2015-03-29
913,2015-03-30
914,2015-03-31
915,2015-04-01
916,2015-04-02
917,2015-04-03
918,2015-04-04
919,2015-04-05
920,2015-04-06
921,2015-04-07
922,2015-04-08
923,2015-04-09
924,2015-04-10
925,2015-04-11
926,2015-04-12
927,2015-04-13
928,2015-04-14
929,2015-04-15
930,2015-04-16
931,2015-04-17
932,2015-04-18
933,2015-04-19
934,2015-04-20
935,2015-04-21
936,2015-04-22
937,2015-04-23
938,2015-04-24
939,2015-04-25
940,2015-04-26
941,2015-04-27
942,2015-04-28
943,2015-04-29
944,2015-04-30
945,2015-05-01
946,2015-05-02
947,2015-05-03
948,2015-05-04
949,2015-05-05
950,2015-05-06
